,precision,recall,f1-score,support
0,0.7701543739279588,0.9782135076252724,0.8618042226487524,459.0
1,0.0,0.0,0.0,7.0
2,0.0,0.0,0.0,26.0
3,0.0,0.0,0.0,49.0
4,0.1111111111111111,0.05555555555555555,0.07407407407407407,18.0
5,0.0,0.0,0.0,7.0
6,0.0,0.0,0.0,7.0
7,0.0,0.0,0.0,3.0
8,0.0,0.0,0.0,17.0
9,0.0,0.0,0.0,2.0
accuracy,0.7563025210084033,0.7563025210084033,0.7563025210084033,0.7563025210084033
macro avg,0.088126548503907,0.10337690631808279,0.09358782967228266,595.0
weighted avg,0.5974804329965262,0.7563025210084033,0.667061296687581,595.0
