,precision,recall,f1-score,support
0,0.7697478991596639,0.9978213507625272,0.8690702087286527,459.0
1,0.0,0.0,0.0,7.0
2,0.0,0.0,0.0,27.0
3,0.0,0.0,0.0,49.0
4,0.0,0.0,0.0,18.0
5,0.0,0.0,0.0,7.0
6,0.0,0.0,0.0,7.0
7,0.0,0.0,0.0,3.0
8,0.0,0.0,0.0,17.0
9,0.0,0.0,0.0,2.0
accuracy,0.7684563758389261,0.7684563758389261,0.7684563758389261,0.7684563758389261
macro avg,0.07697478991596639,0.09978213507625272,0.08690702087286527,596.0
weighted avg,0.5928092042186003,0.7684563758389261,0.669300714440355,596.0
