,precision,recall,f1-score,support
0,0.7794871794871795,0.9934640522875817,0.8735632183908046,459.0
1,0.0,0.0,0.0,7.0
2,0.0,0.0,0.0,27.0
3,0.2727272727272727,0.061224489795918366,0.1,49.0
4,0.0,0.0,0.0,18.0
5,0.0,0.0,0.0,7.0
6,0.0,0.0,0.0,7.0
7,0.0,0.0,0.0,3.0
8,0.0,0.0,0.0,17.0
9,0.0,0.0,0.0,2.0
accuracy,0.7701342281879194,0.7701342281879194,0.7701342281879194,0.7701342281879194
macro avg,0.10522144522144523,0.10546885420835002,0.09735632183908047,596.0
weighted avg,0.6227319660205567,0.7701342281879194,0.6809824114788243,596.0
