,precision,recall,f1-score,support
0,0.7963963963963964,0.9629629629629629,0.8717948717948718,459.0
1,0.0,0.0,0.0,7.0
2,0.0,0.0,0.0,27.0
3,0.10256410256410256,0.08163265306122448,0.09090909090909091,49.0
4,0.0,0.0,0.0,18.0
5,0.0,0.0,0.0,6.0
6,0.0,0.0,0.0,7.0
7,0.0,0.0,0.0,3.0
8,0.0,0.0,0.0,18.0
9,0.0,0.0,0.0,2.0
accuracy,0.7483221476510067,0.7483221476510067,0.7483221476510067,0.7483221476510067
macro avg,0.08989604989604989,0.10445956160241873,0.09627039627039627,596.0
weighted avg,0.621764407670448,0.7483221476510067,0.6788731402825362,596.0
