,precision,recall,f1-score,support
0,0.7721518987341772,0.9488888888888889,0.8514456630109671,450.0
1,0.0,0.0,0.0,7.0
2,0.0,0.0,0.0,27.0
3,0.1,0.061224489795918366,0.0759493670886076,49.0
4,1.0,0.05555555555555555,0.10526315789473684,18.0
5,0.0,0.0,0.0,6.0
6,0.0,0.0,0.0,7.0
7,0.0,0.0,0.0,3.0
8,0.0,0.0,0.0,18.0
9,0.0,0.0,0.0,2.0
accuracy,0.7342419080068143,0.7342419080068143,0.7342419080068143,0.7342419080068143
macro avg,0.18721518987341773,0.10656689342403629,0.10326581879943116,587.0
weighted avg,0.6309512000517542,0.7342419080068143,0.6622943853226273,587.0
