Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
role_based,deepseek-14b,bitter frustration,0.2361219702892885,0.6138211382113821,0.6138211382113821,0.34105025409373235,492.0,1279.0,977.0,190.0,0.0
role_based,deepseek-14b,impatience,0.4146341463414634,0.06390977443609022,0.06390977443609022,0.11074918566775244,266.0,41.0,24.0,249.0,0.0
role_based,deepseek-14b,mocking,0.20703125,0.30113636363636365,0.30113636363636365,0.24537037037037038,176.0,256.0,203.0,123.0,0.0
role_based,deepseek-14b,irony,0.0,0.0,0.0,0.0,64.0,0.0,0.0,64.0,0.0
role_based,deepseek-14b,vulgarity,0.6666666666666666,0.11267605633802817,0.11267605633802817,0.1927710843373494,71.0,12.0,4.0,63.0,0.0
role_based,deepseek-14b,threat,0.4,0.08695652173913043,0.08695652173913043,0.14285714285714285,23.0,5.0,3.0,21.0,0.0
role_based,deepseek-14b,identify attack/name calling,0.3333333333333333,0.03571428571428571,0.03571428571428571,0.06451612903225806,28.0,3.0,2.0,27.0,0.0
role_based,deepseek-14b,none,0.898876404494382,0.8520079875748835,0.8520079875748835,0.8748148991912519,4507.0,4272.0,432.0,667.0,0.0
role_based,deepseek-14b,entitlement,0.0,0.0,0.0,0.0,70.0,1.0,1.0,70.0,0.0
role_based,deepseek-14b,insulting,1.0,0.011494252873563218,0.011494252873563218,0.022727272727272728,174.0,2.0,0.0,172.0,0.0
