Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
role_based,phi4_14b,bitter frustration,0.22894736842105262,0.5304878048780488,0.5304878048780488,0.31985294117647056,492.0,1140.0,879.0,231.0,0.0
role_based,phi4_14b,impatience,0.13497652582159625,0.4323308270676692,0.4323308270676692,0.20572450805008943,266.0,852.0,737.0,151.0,0.0
role_based,phi4_14b,mocking,0.1824175824175824,0.4715909090909091,0.4715909090909091,0.2630744849445325,176.0,455.0,372.0,93.0,0.0
role_based,phi4_14b,irony,0.0684931506849315,0.078125,0.078125,0.072992700729927,64.0,73.0,68.0,59.0,0.0
role_based,phi4_14b,vulgarity,0.5925925925925926,0.22535211267605634,0.22535211267605634,0.32653061224489793,71.0,27.0,11.0,55.0,0.0
role_based,phi4_14b,threat,0.4,0.2608695652173913,0.2608695652173913,0.3157894736842105,23.0,15.0,9.0,17.0,0.0
role_based,phi4_14b,identify attack/name calling,0.38461538461538464,0.17857142857142858,0.17857142857142858,0.24390243902439024,28.0,13.0,8.0,23.0,0.0
role_based,phi4_14b,none,0.9405306495882891,0.6842689150210783,0.6842689150210783,0.7921911122527614,4507.0,3279.0,195.0,1423.0,0.0
role_based,phi4_14b,entitlement,0.25,0.014285714285714285,0.014285714285714285,0.02702702702702703,70.0,4.0,3.0,69.0,0.0
role_based,phi4_14b,insulting,0.5384615384615384,0.040229885057471264,0.040229885057471264,0.0748663101604278,174.0,13.0,6.0,167.0,0.0
