Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
auto_cot,mistral-nemo_12b,bitter frustration,0.13193885760257443,0.6666666666666666,0.6666666666666666,0.22028206850235058,492.0,2486.0,2158.0,164.0,0.0
auto_cot,mistral-nemo_12b,impatience,0.04773413897280967,0.29699248120300753,0.29699248120300753,0.08224882873503384,266.0,1655.0,1576.0,187.0,0.0
auto_cot,mistral-nemo_12b,mocking,0.19714285714285715,0.39204545454545453,0.39204545454545453,0.2623574144486692,176.0,350.0,281.0,107.0,0.0
auto_cot,mistral-nemo_12b,irony,0.024193548387096774,0.046875,0.046875,0.031914893617021274,64.0,124.0,121.0,61.0,0.0
auto_cot,mistral-nemo_12b,vulgarity,0.6111111111111112,0.15492957746478872,0.15492957746478872,0.24719101123595505,71.0,18.0,7.0,60.0,0.0
auto_cot,mistral-nemo_12b,threat,0.625,0.21739130434782608,0.21739130434782608,0.3225806451612903,23.0,8.0,3.0,18.0,0.0
auto_cot,mistral-nemo_12b,identify attack/name calling,0.1,0.03571428571428571,0.03571428571428571,0.05263157894736842,28.0,10.0,9.0,27.0,0.0
auto_cot,mistral-nemo_12b,none,0.9541918755401901,0.24495229642777902,0.24495229642777902,0.3898305084745763,4507.0,1157.0,53.0,3403.0,0.0
auto_cot,mistral-nemo_12b,entitlement,0.04838709677419355,0.04285714285714286,0.04285714285714286,0.045454545454545456,70.0,62.0,59.0,67.0,0.0
auto_cot,mistral-nemo_12b,insulting,1.0,0.005747126436781609,0.005747126436781609,0.011428571428571429,174.0,1.0,0.0,173.0,0.0
