Strategy,Modelo,Tbdf,Precision,Recall,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
few_shot_3,mistral-nemo_12b,bitter frustration,0.08333333333333333,0.0020325203252032522,0.003968253968253968,492.0,12.0,11.0,491.0,0.0
few_shot_3,mistral-nemo_12b,impatience,0.0,0.0,0.0,266.0,15.0,15.0,266.0,0.0
few_shot_3,mistral-nemo_12b,mocking,0.0,0.0,0.0,176.0,7.0,7.0,176.0,0.0
few_shot_3,mistral-nemo_12b,irony,0.0,0.0,0.0,64.0,2.0,2.0,64.0,0.0
few_shot_3,mistral-nemo_12b,vulgarity,0.0,0.0,0.0,71.0,3.0,3.0,71.0,0.0
few_shot_3,mistral-nemo_12b,threat,0.05555555555555555,0.043478260869565216,0.04878048780487805,23.0,18.0,17.0,22.0,0.0
few_shot_3,mistral-nemo_12b,identify attack/name calling,0.0,0.0,0.0,28.0,6.0,6.0,28.0,0.0
few_shot_3,mistral-nemo_12b,none,0.8922071861875875,0.8484579542933215,0.8697827817582168,4507.0,4286.0,462.0,683.0,0.0
few_shot_3,mistral-nemo_12b,entitlement,0.02512562814070352,0.07142857142857142,0.03717472118959108,70.0,199.0,194.0,65.0,0.0
few_shot_3,mistral-nemo_12b,insulting,0.1073318216175359,0.8160919540229885,0.18971275885103542,174.0,1323.0,1181.0,32.0,0.0
