,precision,recall,f1-score,support
0,0.7710437710437711,0.9978213507625272,0.8698955365622032,459.0
1,0.0,0.0,0.0,7.0
2,0.0,0.0,0.0,27.0
3,0.0,0.0,0.0,49.0
4,0.0,0.0,0.0,18.0
5,0.0,0.0,0.0,6.0
6,0.0,0.0,0.0,8.0
7,0.0,0.0,0.0,2.0
8,0.0,0.0,0.0,18.0
9,0.0,0.0,0.0,2.0
accuracy,0.7684563758389261,0.7684563758389261,0.7684563758389261,0.7684563758389261
macro avg,0.0771043771043771,0.09978213507625272,0.08698955365622033,596.0
weighted avg,0.5938071995118975,0.7684563758389261,0.6699363276544484,596.0
