,precision,recall,f1-score,support
0,0.7853309481216458,0.9564270152505446,0.862475442043222,459.0
1,0.0,0.0,0.0,7.0
2,0.0,0.0,0.0,27.0
3,0.16216216216216217,0.12244897959183673,0.13953488372093023,49.0
4,0.0,0.0,0.0,18.0
5,0.0,0.0,0.0,6.0
6,0.0,0.0,0.0,7.0
7,0.0,0.0,0.0,3.0
8,0.0,0.0,0.0,18.0
9,0.0,0.0,0.0,2.0
accuracy,0.7466442953020134,0.7466442953020134,0.7466442953020134,0.7466442953020134
macro avg,0.0947493110283808,0.10788759948423814,0.10020103257641522,596.0
weighted avg,0.6181423676741298,0.7466442953020134,0.6756936865774572,596.0
