,precision,recall,f1-score,support
0,0.7705479452054794,0.9803921568627451,0.862895493767977,459.0
1,0.0,0.0,0.0,7.0
2,0.0,0.0,0.0,26.0
3,0.0,0.0,0.0,49.0
4,0.14285714285714285,0.05263157894736842,0.07692307692307693,19.0
5,0.0,0.0,0.0,6.0
6,0.0,0.0,0.0,7.0
7,0.0,0.0,0.0,3.0
8,0.0,0.0,0.0,17.0
9,0.0,0.0,0.0,3.0
accuracy,0.7567114093959731,0.7567114093959731,0.7567114093959731,0.7567114093959731
macro avg,0.09134050880626224,0.10330237358101135,0.0939818570691054,596.0
weighted avg,0.5979795177241624,0.7567114093959731,0.6669976008406711,596.0
