,precision,recall,f1-score,support
0,0.7835420393559929,0.9711751662971175,0.8673267326732673,451.0
1,0.0,0.0,0.0,7.0
2,0.0,0.0,0.0,27.0
3,0.17857142857142858,0.10204081632653061,0.12987012987012986,49.0
4,0.0,0.0,0.0,18.0
5,0.0,0.0,0.0,6.0
6,0.0,0.0,0.0,7.0
7,0.0,0.0,0.0,3.0
8,0.0,0.0,0.0,17.0
9,0.0,0.0,0.0,3.0
accuracy,0.7534013605442177,0.7534013605442177,0.7534013605442177,0.7534013605442177
macro avg,0.09621134679274215,0.1073215982623648,0.09971968625433972,588.0
weighted avg,0.6158630267849536,0.7534013605442177,0.6760680149647619,588.0
