Strategy,Modelo,Tbdf,Precision,Recall,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
one_shot,gemma2_9b,bitter frustration,0.2750455373406193,0.30691056910569103,0.29010566762728146,492.0,549.0,398.0,341.0,0.0
one_shot,gemma2_9b,impatience,0.10074626865671642,0.40601503759398494,0.16143497757847533,266.0,1072.0,964.0,158.0,0.0
one_shot,gemma2_9b,mocking,0.15625,0.3693181818181818,0.2195945945945946,176.0,416.0,351.0,111.0,0.0
one_shot,gemma2_9b,irony,0.034482758620689655,0.09375,0.05042016806722689,64.0,174.0,168.0,58.0,0.0
one_shot,gemma2_9b,vulgarity,0.22580645161290322,0.19718309859154928,0.21052631578947367,71.0,62.0,48.0,57.0,0.0
one_shot,gemma2_9b,threat,0.22727272727272727,0.6521739130434783,0.33707865168539325,23.0,66.0,51.0,8.0,0.0
one_shot,gemma2_9b,identify attack/name calling,0.08888888888888889,0.14285714285714285,0.1095890410958904,28.0,45.0,41.0,24.0,0.0
one_shot,gemma2_9b,none,0.9218054672600127,0.6434435322831151,0.7578727296485038,4507.0,3146.0,246.0,1607.0,0.0
one_shot,gemma2_9b,entitlement,0.04672897196261682,0.14285714285714285,0.07042253521126761,70.0,214.0,204.0,60.0,0.0
one_shot,gemma2_9b,insulting,0.1889763779527559,0.13793103448275862,0.15946843853820597,174.0,127.0,103.0,150.0,0.0
