Strategy,Modelo,Tbdf,Precision,Recall,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
one_shot,llama3.1_8b,bitter frustration,0.25688073394495414,0.17073170731707318,0.20512820512820512,492.0,327.0,243.0,408.0,0.0
one_shot,llama3.1_8b,impatience,0.21333333333333335,0.18045112781954886,0.1955193482688391,266.0,225.0,177.0,218.0,0.0
one_shot,llama3.1_8b,mocking,0.12240184757505773,0.30113636363636365,0.17405582922824303,176.0,433.0,380.0,123.0,0.0
one_shot,llama3.1_8b,irony,0.0759493670886076,0.1875,0.10810810810810811,64.0,158.0,146.0,52.0,0.0
one_shot,llama3.1_8b,vulgarity,0.13768115942028986,0.5352112676056338,0.21902017291066284,71.0,276.0,238.0,33.0,0.0
one_shot,llama3.1_8b,threat,0.21818181818181817,0.5217391304347826,0.3076923076923077,23.0,55.0,43.0,11.0,0.0
one_shot,llama3.1_8b,identify attack/name calling,0.037383177570093455,0.2857142857142857,0.06611570247933884,28.0,214.0,206.0,20.0,0.0
one_shot,llama3.1_8b,none,0.9195938529088913,0.7435100954071444,0.8222304011777696,4507.0,3644.0,293.0,1156.0,0.0
one_shot,llama3.1_8b,entitlement,0.04242424242424243,0.3,0.0743362831858407,70.0,495.0,474.0,49.0,0.0
one_shot,llama3.1_8b,insulting,0.25,0.06321839080459771,0.10091743119266056,174.0,44.0,33.0,163.0,0.0
