Strategy,Modelo,Tbdf,Precision,Recall,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
one_shot,mistral-nemo_12b,bitter frustration,0.24213836477987422,0.3130081300813008,0.2730496453900709,492.0,636.0,482.0,338.0,0.0
one_shot,mistral-nemo_12b,impatience,0.38333333333333336,0.08646616541353383,0.1411042944785276,266.0,60.0,37.0,243.0,0.0
one_shot,mistral-nemo_12b,mocking,0.2072072072072072,0.13068181818181818,0.1602787456445993,176.0,111.0,88.0,153.0,0.0
one_shot,mistral-nemo_12b,irony,0.06818181818181818,0.046875,0.05555555555555555,64.0,44.0,41.0,61.0,0.0
one_shot,mistral-nemo_12b,vulgarity,0.3333333333333333,0.3380281690140845,0.3356643356643357,71.0,72.0,48.0,47.0,0.0
one_shot,mistral-nemo_12b,threat,0.19718309859154928,0.6086956521739131,0.2978723404255319,23.0,71.0,57.0,9.0,0.0
one_shot,mistral-nemo_12b,identify attack/name calling,0.015345268542199489,0.21428571428571427,0.028639618138424822,28.0,391.0,385.0,22.0,0.0
one_shot,mistral-nemo_12b,none,0.9061390157280568,0.7925449301087197,0.8455438513433542,4507.0,3942.0,370.0,935.0,0.0
one_shot,mistral-nemo_12b,entitlement,0.043478260869565216,0.32857142857142857,0.07679465776293823,70.0,529.0,506.0,47.0,0.0
one_shot,mistral-nemo_12b,insulting,0.2,0.017241379310344827,0.031746031746031744,174.0,15.0,12.0,171.0,0.0
