Strategy,Modelo,Tbdf,Precision,Recall,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
one_shot,mistral_7b,bitter frustration,0.15463917525773196,0.03048780487804878,0.050933786078098474,492.0,97.0,82.0,477.0,0.0
one_shot,mistral_7b,impatience,0.2302158273381295,0.24060150375939848,0.23529411764705882,266.0,278.0,214.0,202.0,0.0
one_shot,mistral_7b,mocking,0.15352697095435686,0.21022727272727273,0.1774580335731415,176.0,241.0,204.0,139.0,0.0
one_shot,mistral_7b,irony,0.045454545454545456,0.015625,0.023255813953488372,64.0,22.0,21.0,63.0,0.0
one_shot,mistral_7b,vulgarity,0.19753086419753085,0.22535211267605634,0.21052631578947367,71.0,81.0,65.0,55.0,0.0
one_shot,mistral_7b,threat,0.041379310344827586,0.5217391304347826,0.07667731629392971,23.0,290.0,278.0,11.0,0.0
one_shot,mistral_7b,identify attack/name calling,0.03257328990228013,0.35714285714285715,0.05970149253731343,28.0,307.0,297.0,18.0,0.0
one_shot,mistral_7b,none,0.8621323529411765,0.7284224539605059,0.7896572459410703,4507.0,3808.0,525.0,1224.0,0.0
one_shot,mistral_7b,entitlement,0.04824561403508772,0.15714285714285714,0.0738255033557047,70.0,228.0,217.0,59.0,0.0
one_shot,mistral_7b,insulting,0.0905587668593449,0.27011494252873564,0.13564213564213565,174.0,519.0,472.0,127.0,0.0
