Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
one_shot,phi3_3.8b,bitter frustration,0.10294117647058823,0.1565040650406504,0.1565040650406504,0.12419354838709677,492.0,748.0,671.0,415.0,0.0
one_shot,phi3_3.8b,impatience,0.10714285714285714,0.03383458646616541,0.03383458646616541,0.05142857142857143,266.0,84.0,75.0,257.0,0.0
one_shot,phi3_3.8b,mocking,0.125,0.022727272727272728,0.022727272727272728,0.038461538461538464,176.0,32.0,28.0,172.0,0.0
one_shot,phi3_3.8b,irony,0.011312217194570135,0.3125,0.3125,0.021834061135371178,64.0,1768.0,1748.0,44.0,0.0
one_shot,phi3_3.8b,vulgarity,0.15789473684210525,0.04225352112676056,0.04225352112676056,0.06666666666666667,71.0,19.0,16.0,68.0,0.0
one_shot,phi3_3.8b,threat,0.016666666666666666,0.043478260869565216,0.043478260869565216,0.024096385542168676,23.0,60.0,59.0,22.0,0.0
one_shot,phi3_3.8b,identify attack/name calling,0.0025786487880350697,0.17857142857142858,0.17857142857142858,0.005083884087442806,28.0,1939.0,1934.0,23.0,0.0
one_shot,phi3_3.8b,none,0.8636363636363636,0.05058797426225871,0.05058797426225871,0.09557744707608468,4507.0,264.0,36.0,4279.0,0.0
one_shot,phi3_3.8b,entitlement,0.020100502512562814,0.05714285714285714,0.05714285714285714,0.02973977695167286,70.0,199.0,195.0,66.0,0.0
one_shot,phi3_3.8b,insulting,0.04011887072808321,0.15517241379310345,0.15517241379310345,0.06375442739079103,174.0,673.0,646.0,147.0,0.0
