Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
one_shot,phi4_14b,bitter frustration,0.2777777777777778,0.2540650406504065,0.2540650406504065,0.2653927813163482,492.0,450.0,325.0,367.0,0.0
one_shot,phi4_14b,impatience,0.19451371571072318,0.2932330827067669,0.2932330827067669,0.23388305847076463,266.0,401.0,323.0,188.0,0.0
one_shot,phi4_14b,mocking,0.17647058823529413,0.2897727272727273,0.2897727272727273,0.21935483870967742,176.0,289.0,238.0,125.0,0.0
one_shot,phi4_14b,irony,0.046511627906976744,0.15625,0.15625,0.07168458781362007,64.0,215.0,205.0,54.0,0.0
one_shot,phi4_14b,vulgarity,0.29411764705882354,0.352112676056338,0.352112676056338,0.32051282051282054,71.0,85.0,60.0,46.0,0.0
one_shot,phi4_14b,threat,0.1935483870967742,0.782608695652174,0.782608695652174,0.3103448275862069,23.0,93.0,75.0,5.0,0.0
one_shot,phi4_14b,identify attack/name calling,0.03968253968253968,0.5357142857142857,0.5357142857142857,0.07389162561576355,28.0,378.0,363.0,13.0,0.0
one_shot,phi4_14b,none,0.9222797927461139,0.7503882848901708,0.7503882848901708,0.8275018350868608,4507.0,3667.0,285.0,1125.0,0.0
one_shot,phi4_14b,entitlement,0.042735042735042736,0.14285714285714285,0.14285714285714285,0.06578947368421052,70.0,234.0,224.0,60.0,0.0
one_shot,phi4_14b,insulting,0.288135593220339,0.09770114942528736,0.09770114942528736,0.1459227467811159,174.0,59.0,42.0,157.0,0.0
