Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
role_based,mistral-nemo_12b,bitter frustration,0.2138157894736842,0.6605691056910569,0.6605691056910569,0.3230616302186879,492.0,1520.0,1195.0,167.0,0.0
role_based,mistral-nemo_12b,impatience,0.13541666666666666,0.19548872180451127,0.19548872180451127,0.16,266.0,384.0,332.0,214.0,0.0
role_based,mistral-nemo_12b,mocking,0.19932432432432431,0.3352272727272727,0.3352272727272727,0.25,176.0,296.0,237.0,117.0,0.0
role_based,mistral-nemo_12b,irony,0.06944444444444445,0.15625,0.15625,0.09615384615384616,64.0,144.0,134.0,54.0,0.0
role_based,mistral-nemo_12b,vulgarity,0.5172413793103449,0.2112676056338028,0.2112676056338028,0.3,71.0,29.0,14.0,56.0,0.0
role_based,mistral-nemo_12b,threat,0.75,0.13043478260869565,0.13043478260869565,0.2222222222222222,23.0,4.0,1.0,20.0,0.0
role_based,mistral-nemo_12b,identify attack/name calling,0.5,0.10714285714285714,0.10714285714285714,0.17647058823529413,28.0,6.0,3.0,25.0,0.0
role_based,mistral-nemo_12b,none,0.9341040462427745,0.7171067228755269,0.7171067228755269,0.8113468055729885,4507.0,3460.0,228.0,1275.0,0.0
role_based,mistral-nemo_12b,entitlement,0.2631578947368421,0.07142857142857142,0.07142857142857142,0.11235955056179775,70.0,19.0,14.0,65.0,0.0
role_based,mistral-nemo_12b,insulting,0.4444444444444444,0.022988505747126436,0.022988505747126436,0.04371584699453552,174.0,9.0,5.0,170.0,0.0
