Strategy,Modelo,Tbdf,Precision,Recall,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
role_based,mistral_7b,bitter frustration,0.17411402157164868,0.6890243902439024,0.2779827798277983,492.0,1947.0,1608.0,153.0,0.0
role_based,mistral_7b,impatience,0.08125,0.34210526315789475,0.13131313131313133,266.0,1120.0,1029.0,175.0,0.0
role_based,mistral_7b,mocking,0.24324324324324326,0.1534090909090909,0.18815331010452963,176.0,111.0,84.0,149.0,0.0
role_based,mistral_7b,irony,0.0784313725490196,0.0625,0.06956521739130435,64.0,51.0,47.0,60.0,0.0
role_based,mistral_7b,vulgarity,0.52,0.18309859154929578,0.2708333333333333,71.0,25.0,12.0,58.0,0.0
role_based,mistral_7b,threat,0.5,0.043478260869565216,0.08,23.0,2.0,1.0,22.0,0.0
role_based,mistral_7b,identify attack/name calling,0.09090909090909091,0.07142857142857142,0.08,28.0,22.0,20.0,26.0,0.0
role_based,mistral_7b,none,0.9144865286997267,0.5196361215886399,0.6627051499717035,4507.0,2561.0,219.0,2165.0,0.0
role_based,mistral_7b,entitlement,0.2,0.02857142857142857,0.05,70.0,10.0,8.0,68.0,0.0
role_based,mistral_7b,insulting,0.3181818181818182,0.040229885057471264,0.07142857142857142,174.0,22.0,15.0,167.0,0.0
