Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
role_based_auto_cot,mistral-nemo_12b,bitter frustration,0.1608300907911803,0.7560975609756098,0.7560975609756098,0.26524064171122996,492.0,2313.0,1941.0,120.0,0.0
role_based_auto_cot,mistral-nemo_12b,impatience,0.09259259259259259,0.24436090225563908,0.24436090225563908,0.13429752066115702,266.0,702.0,637.0,201.0,0.0
role_based_auto_cot,mistral-nemo_12b,mocking,0.19571865443425077,0.36363636363636365,0.36363636363636365,0.2544731610337972,176.0,327.0,263.0,112.0,0.0
role_based_auto_cot,mistral-nemo_12b,irony,0.05555555555555555,0.140625,0.140625,0.07964601769911504,64.0,162.0,153.0,55.0,0.0
role_based_auto_cot,mistral-nemo_12b,vulgarity,0.5,0.15492957746478872,0.15492957746478872,0.23655913978494625,71.0,22.0,11.0,60.0,0.0
role_based_auto_cot,mistral-nemo_12b,threat,1.0,0.13043478260869565,0.13043478260869565,0.23076923076923078,23.0,3.0,0.0,20.0,0.0
role_based_auto_cot,mistral-nemo_12b,identify attack/name calling,0.42857142857142855,0.10714285714285714,0.10714285714285714,0.17142857142857143,28.0,7.0,4.0,25.0,0.0
role_based_auto_cot,mistral-nemo_12b,none,0.9485071397663349,0.486462494451842,0.486462494451842,0.6430981370104152,4506.0,2311.0,119.0,2314.0,0.0
role_based_auto_cot,mistral-nemo_12b,entitlement,0.16666666666666666,0.04285714285714286,0.04285714285714286,0.06818181818181818,70.0,18.0,15.0,67.0,0.0
role_based_auto_cot,mistral-nemo_12b,insulting,0.8,0.022988505747126436,0.022988505747126436,0.0446927374301676,174.0,5.0,1.0,170.0,0.0
