Strategy,Modelo,Tbdf,Precision,Recall,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
role_based_few_shot_3,gemma2_9b,bitter frustration,0.0,0.0,0.0,492.0,3.0,3.0,492.0,0.0
role_based_few_shot_3,gemma2_9b,impatience,0.0,0.0,0.0,266.0,2.0,2.0,266.0,0.0
role_based_few_shot_3,gemma2_9b,mocking,0.0,0.0,0.0,176.0,1.0,1.0,176.0,0.0
role_based_few_shot_3,gemma2_9b,irony,0.022222222222222223,0.015625,0.01834862385321101,64.0,45.0,44.0,63.0,0.0
role_based_few_shot_3,gemma2_9b,vulgarity,0.0,0.0,0.0,71.0,4.0,4.0,71.0,0.0
role_based_few_shot_3,gemma2_9b,threat,0.0,0.0,0.0,23.0,3.0,3.0,23.0,0.0
role_based_few_shot_3,gemma2_9b,identify attack/name calling,0.0,0.0,0.0,28.0,3.0,3.0,28.0,0.0
role_based_few_shot_3,gemma2_9b,none,0.9038175508180466,0.8089638340359441,0.8537641962299497,4507.0,4034.0,388.0,861.0,0.0
role_based_few_shot_3,gemma2_9b,entitlement,0.043859649122807015,0.07142857142857142,0.05434782608695652,70.0,114.0,109.0,65.0,0.0
role_based_few_shot_3,gemma2_9b,insulting,0.08844765342960288,0.8448275862068966,0.16013071895424835,174.0,1662.0,1515.0,27.0,0.0
