Strategy,Modelo,Tbdf,Precision,Recall,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
role_based_few_shot_3,gemma_7b,bitter frustration,0.0,0.0,0.0,492.0,4.0,4.0,492.0,0.0
role_based_few_shot_3,gemma_7b,impatience,0.07782101167315175,0.07518796992481203,0.07648183556405354,266.0,257.0,237.0,246.0,0.0
role_based_few_shot_3,gemma_7b,mocking,0.0,0.0,0.0,176.0,28.0,28.0,176.0,0.0
role_based_few_shot_3,gemma_7b,irony,0.030303030303030304,0.015625,0.020618556701030927,64.0,33.0,32.0,63.0,0.0
role_based_few_shot_3,gemma_7b,vulgarity,0.0,0.0,0.0,71.0,381.0,381.0,71.0,0.0
role_based_few_shot_3,gemma_7b,threat,0.07913669064748201,0.4782608695652174,0.13580246913580246,23.0,139.0,128.0,12.0,0.0
role_based_few_shot_3,gemma_7b,identify attack/name calling,0.002861230329041488,0.07142857142857142,0.005502063273727648,28.0,699.0,697.0,26.0,0.0
role_based_few_shot_3,gemma_7b,none,0.865990990990991,0.17062347459507432,0.2850787766450417,4507.0,888.0,119.0,3738.0,0.0
role_based_few_shot_3,gemma_7b,entitlement,0.00477326968973747,0.02857142857142857,0.0081799591002045,70.0,419.0,417.0,68.0,0.0
role_based_few_shot_3,gemma_7b,insulting,0.04201124710552431,0.7298850574712644,0.07944948389114795,174.0,3023.0,2896.0,47.0,0.0
