Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
role_based_few_shot_3,mistral-nemo_12b,bitter frustration,0.125,0.0020325203252032522,0.0020325203252032522,0.004,492.0,8.0,7.0,491.0,0.0
role_based_few_shot_3,mistral-nemo_12b,impatience,0.05555555555555555,0.0037593984962406013,0.0037593984962406013,0.007042253521126761,266.0,18.0,17.0,265.0,0.0
role_based_few_shot_3,mistral-nemo_12b,mocking,0.0,0.0,0.0,0.0,176.0,5.0,5.0,176.0,0.0
role_based_few_shot_3,mistral-nemo_12b,irony,0.0,0.0,0.0,0.0,64.0,2.0,2.0,64.0,0.0
role_based_few_shot_3,mistral-nemo_12b,vulgarity,0.0,0.0,0.0,0.0,71.0,4.0,4.0,71.0,0.0
role_based_few_shot_3,mistral-nemo_12b,threat,0.06666666666666667,0.043478260869565216,0.043478260869565216,0.05263157894736842,23.0,15.0,14.0,22.0,0.0
role_based_few_shot_3,mistral-nemo_12b,identify attack/name calling,0.0,0.0,0.0,0.0,28.0,4.0,4.0,28.0,0.0
role_based_few_shot_3,mistral-nemo_12b,none,0.8903137165101901,0.8626580874195695,0.8626580874195695,0.8762677484787018,4507.0,4367.0,479.0,619.0,0.0
role_based_few_shot_3,mistral-nemo_12b,entitlement,0.024242424242424242,0.05714285714285714,0.05714285714285714,0.03404255319148936,70.0,165.0,161.0,66.0,0.0
role_based_few_shot_3,mistral-nemo_12b,insulting,0.10989867498051442,0.8103448275862069,0.8103448275862069,0.1935483870967742,174.0,1283.0,1142.0,33.0,0.0
