Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
role_based_few_shot_3,mistral_7b,bitter frustration,0.09174311926605505,0.02032520325203252,0.02032520325203252,0.033277870216306155,492.0,109.0,99.0,482.0,0.0
role_based_few_shot_3,mistral_7b,impatience,0.0,0.0,0.0,0.0,266.0,6.0,6.0,266.0,0.0
role_based_few_shot_3,mistral_7b,mocking,0.0,0.0,0.0,0.0,176.0,12.0,12.0,176.0,0.0
role_based_few_shot_3,mistral_7b,irony,0.0,0.0,0.0,0.0,64.0,0.0,0.0,64.0,0.0
role_based_few_shot_3,mistral_7b,vulgarity,0.0,0.0,0.0,0.0,71.0,14.0,14.0,71.0,0.0
role_based_few_shot_3,mistral_7b,threat,0.05434782608695652,0.21739130434782608,0.21739130434782608,0.08695652173913043,23.0,92.0,87.0,18.0,0.0
role_based_few_shot_3,mistral_7b,identify attack/name calling,0.0,0.0,0.0,0.0,28.0,35.0,35.0,28.0,0.0
role_based_few_shot_3,mistral_7b,none,0.8784046692607004,0.8014200133126248,0.8014200133126248,0.8381482770623042,4507.0,4112.0,500.0,895.0,0.0
role_based_few_shot_3,mistral_7b,entitlement,0.022222222222222223,0.02857142857142857,0.02857142857142857,0.025,70.0,90.0,88.0,68.0,0.0
role_based_few_shot_3,mistral_7b,insulting,0.09635974304068523,0.7758620689655172,0.7758620689655172,0.17142857142857143,174.0,1401.0,1266.0,39.0,0.0
