Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
role_based_few_shot_3,phi3_3.8b,bitter frustration,0.076103500761035,0.1016260162601626,0.1016260162601626,0.08703220191470844,492.0,657.0,607.0,442.0,0.0
role_based_few_shot_3,phi3_3.8b,impatience,0.0,0.0,0.0,0.0,266.0,0.0,0.0,266.0,0.0
role_based_few_shot_3,phi3_3.8b,mocking,0.0,0.0,0.0,0.0,176.0,1.0,1.0,176.0,0.0
role_based_few_shot_3,phi3_3.8b,irony,0.013404825737265416,0.15625,0.15625,0.024691358024691357,64.0,746.0,736.0,54.0,0.0
role_based_few_shot_3,phi3_3.8b,vulgarity,0.0,0.0,0.0,0.0,71.0,0.0,0.0,71.0,0.0
role_based_few_shot_3,phi3_3.8b,threat,0.0,0.0,0.0,0.0,23.0,50.0,50.0,23.0,0.0
role_based_few_shot_3,phi3_3.8b,identify attack/name calling,0.003288271830471319,0.32142857142857145,0.32142857142857145,0.0065099457504520794,28.0,2737.0,2728.0,19.0,0.0
role_based_few_shot_3,phi3_3.8b,none,0.8153846153846154,0.04703794098069669,0.04703794098069669,0.08894482903293476,4507.0,260.0,48.0,4295.0,0.0
role_based_few_shot_3,phi3_3.8b,entitlement,0.01443298969072165,0.1,0.1,0.025225225225225224,70.0,485.0,478.0,63.0,0.0
role_based_few_shot_3,phi3_3.8b,insulting,0.03431372549019608,0.16091954022988506,0.16091954022988506,0.05656565656565657,174.0,816.0,788.0,146.0,0.0
