Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
role_based_few_shot_3,phi4_14b,bitter frustration,0.16666666666666666,0.0040650406504065045,0.0040650406504065045,0.007936507936507936,492.0,12.0,10.0,490.0,0.0
role_based_few_shot_3,phi4_14b,impatience,0.0,0.0,0.0,0.0,266.0,1.0,1.0,266.0,0.0
role_based_few_shot_3,phi4_14b,mocking,0.0,0.0,0.0,0.0,176.0,4.0,4.0,176.0,0.0
role_based_few_shot_3,phi4_14b,irony,0.0,0.0,0.0,0.0,64.0,13.0,13.0,64.0,0.0
role_based_few_shot_3,phi4_14b,vulgarity,0.0,0.0,0.0,0.0,71.0,3.0,3.0,71.0,0.0
role_based_few_shot_3,phi4_14b,threat,0.2,0.17391304347826086,0.17391304347826086,0.18604651162790697,23.0,20.0,16.0,19.0,0.0
role_based_few_shot_3,phi4_14b,identify attack/name calling,0.0,0.0,0.0,0.0,28.0,2.0,2.0,28.0,0.0
role_based_few_shot_3,phi4_14b,none,0.9000484027105518,0.8251608608830707,0.8251608608830707,0.8609792800092604,4507.0,4132.0,413.0,788.0,0.0
role_based_few_shot_3,phi4_14b,entitlement,0.02459016393442623,0.04285714285714286,0.04285714285714286,0.03125,70.0,122.0,119.0,67.0,0.0
role_based_few_shot_3,phi4_14b,insulting,0.09282970550576185,0.8333333333333334,0.8333333333333334,0.16705069124423963,174.0,1562.0,1417.0,29.0,0.0
