Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
role_based_one_shot,gemma2_9b,bitter frustration,0.37398373983739835,0.09349593495934959,0.09349593495934959,0.14959349593495935,492.0,123.0,77.0,446.0,0.0
role_based_one_shot,gemma2_9b,impatience,0.5555555555555556,0.018796992481203006,0.018796992481203006,0.03636363636363636,266.0,9.0,4.0,261.0,0.0
role_based_one_shot,gemma2_9b,mocking,0.0,0.0,0.0,0.0,176.0,2.0,2.0,176.0,0.0
role_based_one_shot,gemma2_9b,irony,0.043824701195219126,0.171875,0.171875,0.06984126984126984,64.0,251.0,240.0,53.0,0.0
role_based_one_shot,gemma2_9b,vulgarity,0.24299065420560748,0.36619718309859156,0.36619718309859156,0.29213483146067415,71.0,107.0,81.0,45.0,0.0
role_based_one_shot,gemma2_9b,threat,0.18888888888888888,0.7391304347826086,0.7391304347826086,0.3008849557522124,23.0,90.0,73.0,6.0,0.0
role_based_one_shot,gemma2_9b,identify attack/name calling,0.07936507936507936,0.5357142857142857,0.5357142857142857,0.1382488479262673,28.0,189.0,174.0,13.0,0.0
role_based_one_shot,gemma2_9b,none,0.9037524366471735,0.8229420900820945,0.8229420900820945,0.8614562768551852,4507.0,4104.0,395.0,798.0,0.0
role_based_one_shot,gemma2_9b,entitlement,0.0390625,0.21428571428571427,0.21428571428571427,0.06607929515418502,70.0,384.0,369.0,55.0,0.0
role_based_one_shot,gemma2_9b,insulting,0.119281045751634,0.41954022988505746,0.41954022988505746,0.18575063613231552,174.0,612.0,539.0,101.0,0.0
