Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
role_based_one_shot,gemma_7b,bitter frustration,0.2,0.0020325203252032522,0.0020325203252032522,0.004024144869215292,492.0,5.0,4.0,491.0,0.0
role_based_one_shot,gemma_7b,impatience,0.10714285714285714,0.011278195488721804,0.011278195488721804,0.02040816326530612,266.0,28.0,25.0,263.0,0.0
role_based_one_shot,gemma_7b,mocking,0.05555555555555555,0.005681818181818182,0.005681818181818182,0.010309278350515464,176.0,18.0,17.0,175.0,0.0
role_based_one_shot,gemma_7b,irony,0.009708737864077669,0.015625,0.015625,0.011976047904191617,64.0,103.0,102.0,63.0,0.0
role_based_one_shot,gemma_7b,vulgarity,0.055865921787709494,0.14084507042253522,0.14084507042253522,0.08,71.0,179.0,169.0,61.0,0.0
role_based_one_shot,gemma_7b,threat,0.04081632653061224,0.6956521739130435,0.6956521739130435,0.07710843373493977,23.0,392.0,376.0,7.0,0.0
role_based_one_shot,gemma_7b,identify attack/name calling,0.007031642390758413,0.5,0.5,0.013868251609707775,28.0,1991.0,1977.0,14.0,0.0
role_based_one_shot,gemma_7b,none,0.8568435754189944,0.544486354559574,0.544486354559574,0.6658526658526659,4507.0,2864.0,410.0,2053.0,0.0
role_based_one_shot,gemma_7b,entitlement,0.014423076923076924,0.04285714285714286,0.04285714285714286,0.02158273381294964,70.0,208.0,205.0,67.0,0.0
role_based_one_shot,gemma_7b,insulting,0.14457831325301204,0.06896551724137931,0.06896551724137931,0.0933852140077821,174.0,83.0,71.0,162.0,0.0
