Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
role_based_one_shot,mistral_7b,bitter frustration,0.09876543209876543,0.016260162601626018,0.016260162601626018,0.027923211169284468,492.0,81.0,73.0,484.0,0.0
role_based_one_shot,mistral_7b,impatience,0.08333333333333333,0.007518796992481203,0.007518796992481203,0.013793103448275862,266.0,24.0,22.0,264.0,0.0
role_based_one_shot,mistral_7b,mocking,0.04597701149425287,0.022727272727272728,0.022727272727272728,0.030418250950570342,176.0,87.0,83.0,172.0,0.0
role_based_one_shot,mistral_7b,irony,0.04878048780487805,0.03125,0.03125,0.0380952380952381,64.0,41.0,39.0,62.0,0.0
role_based_one_shot,mistral_7b,vulgarity,0.14516129032258066,0.2535211267605634,0.2535211267605634,0.18461538461538463,71.0,124.0,106.0,53.0,0.0
role_based_one_shot,mistral_7b,threat,0.04398826979472141,0.6521739130434783,0.6521739130434783,0.08241758241758242,23.0,341.0,326.0,8.0,0.0
role_based_one_shot,mistral_7b,identify attack/name calling,0.02,0.32142857142857145,0.32142857142857145,0.03765690376569038,28.0,450.0,441.0,19.0,0.0
role_based_one_shot,mistral_7b,none,0.8686413393432066,0.5986243621033948,0.5986243621033948,0.7087876001576251,4507.0,3106.0,408.0,1809.0,0.0
role_based_one_shot,mistral_7b,entitlement,0.034324942791762014,0.21428571428571427,0.21428571428571427,0.05917159763313609,70.0,437.0,422.0,55.0,0.0
role_based_one_shot,mistral_7b,insulting,0.04745762711864407,0.3218390804597701,0.3218390804597701,0.0827178729689808,174.0,1180.0,1124.0,118.0,0.0
