Strategy,Modelo,Tbdf,Precision,Recall,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
zero_shot,gemma_7b,bitter frustration,0.12904656319290467,0.5914634146341463,0.21186749180924644,492.0,2255.0,1964.0,201.0,0.0
zero_shot,gemma_7b,impatience,0.03707414829659319,0.2781954887218045,0.06542882404951371,266.0,1996.0,1922.0,192.0,0.0
zero_shot,gemma_7b,mocking,0.10158311345646438,0.4375,0.16488222698072805,176.0,758.0,681.0,99.0,0.0
zero_shot,gemma_7b,irony,0.009881422924901186,0.078125,0.017543859649122806,64.0,506.0,501.0,59.0,0.0
zero_shot,gemma_7b,vulgarity,0.35714285714285715,0.28169014084507044,0.31496062992125984,71.0,56.0,36.0,51.0,0.0
zero_shot,gemma_7b,threat,0.04132231404958678,0.21739130434782608,0.06944444444444445,23.0,121.0,116.0,18.0,0.0
zero_shot,gemma_7b,identify attack/name calling,0.08333333333333333,0.17857142857142858,0.11363636363636363,28.0,60.0,55.0,23.0,0.0
zero_shot,gemma_7b,none,0.75,0.002662524961171511,0.005306212690692019,4507.0,16.0,4.0,4495.0,0.0
zero_shot,gemma_7b,entitlement,0.030927835051546393,0.04285714285714286,0.03592814371257485,70.0,97.0,94.0,67.0,0.0
zero_shot,gemma_7b,insulting,0.3333333333333333,0.011494252873563218,0.022222222222222223,174.0,6.0,4.0,172.0,0.0
