Strategy,Modelo,Tbdf,Precision,Recall,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
zero_shot,llama3.1_8b,bitter frustration,0.16291251964379255,0.6321138211382114,0.2590587255310287,492.0,1909.0,1598.0,181.0,0.0
zero_shot,llama3.1_8b,impatience,0.06100422336931018,0.48872180451127817,0.1084689194826867,266.0,2131.0,2001.0,136.0,0.0
zero_shot,llama3.1_8b,mocking,0.17032967032967034,0.3522727272727273,0.22962962962962963,176.0,364.0,302.0,114.0,0.0
zero_shot,llama3.1_8b,irony,0.07142857142857142,0.015625,0.02564102564102564,64.0,14.0,13.0,63.0,0.0
zero_shot,llama3.1_8b,vulgarity,0.5384615384615384,0.09859154929577464,0.16666666666666666,71.0,13.0,6.0,64.0,0.0
zero_shot,llama3.1_8b,threat,0.2857142857142857,0.2608695652173913,0.2727272727272727,23.0,21.0,15.0,17.0,0.0
zero_shot,llama3.1_8b,identify attack/name calling,0.18181818181818182,0.07142857142857142,0.10256410256410256,28.0,11.0,9.0,26.0,0.0
zero_shot,llama3.1_8b,none,0.94921875,0.2695806523186155,0.4199066874027994,4507.0,1280.0,65.0,3292.0,0.0
zero_shot,llama3.1_8b,entitlement,0.0390625,0.07142857142857142,0.050505050505050504,70.0,128.0,123.0,65.0,0.0
zero_shot,llama3.1_8b,insulting,0.0,0.0,0.0,174.0,0.0,0.0,174.0,0.0
