Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
zero_shot,mistral-nemo_12b,bitter frustration,0.1365414710485133,0.709349593495935,0.709349593495935,0.229002624671916,492.0,2556.0,2207.0,143.0,0.0
zero_shot,mistral-nemo_12b,impatience,0.05511182108626198,0.2593984962406015,0.2593984962406015,0.09090909090909091,266.0,1252.0,1183.0,197.0,0.0
zero_shot,mistral-nemo_12b,mocking,0.22054380664652568,0.4147727272727273,0.4147727272727273,0.2879684418145957,176.0,331.0,258.0,103.0,0.0
zero_shot,mistral-nemo_12b,irony,0.037037037037037035,0.046875,0.046875,0.041379310344827586,64.0,81.0,78.0,61.0,0.0
zero_shot,mistral-nemo_12b,vulgarity,0.5555555555555556,0.2112676056338028,0.2112676056338028,0.30612244897959184,71.0,27.0,12.0,56.0,0.0
zero_shot,mistral-nemo_12b,threat,0.5,0.21739130434782608,0.21739130434782608,0.30303030303030304,23.0,10.0,5.0,18.0,0.0
zero_shot,mistral-nemo_12b,identify attack/name calling,0.25,0.03571428571428571,0.03571428571428571,0.0625,28.0,4.0,3.0,27.0,0.0
zero_shot,mistral-nemo_12b,none,0.9441233140655106,0.3261593077435101,0.3261593077435101,0.48482849604221634,4507.0,1557.0,87.0,3037.0,0.0
zero_shot,mistral-nemo_12b,entitlement,0.0784313725490196,0.05714285714285714,0.05714285714285714,0.06611570247933884,70.0,51.0,47.0,66.0,0.0
zero_shot,mistral-nemo_12b,insulting,0.5,0.005747126436781609,0.005747126436781609,0.011363636363636364,174.0,2.0,1.0,173.0,0.0
